,Result,Confidance of being Cracked
0,Negative (Not Crack),0.076366
1,Negative (Not Crack),0.037604
2,Negative (Not Crack),0.084727
3,Negative (Not Crack),0.065143
4,Negative (Not Crack),0.104361
5,Negative (Not Crack),0.062486
6,Negative (Not Crack),0.061246
7,Negative (Not Crack),0.090121
8,Negative (Not Crack),0.036467
9,Negative (Not Crack),0.048209
10,Negative (Not Crack),0.038076
11,Negative (Not Crack),0.039086
12,Negative (Not Crack),0.048399
13,Negative (Not Crack),0.091728
14,Negative (Not Crack),0.483743
15,Negative (Not Crack),0.061999
16,Negative (Not Crack),0.115342
17,Negative (Not Crack),0.082395
18,Negative (Not Crack),0.033868
19,Negative (Not Crack),0.03265
20,Negative (Not Crack),0.026814
21,Negative (Not Crack),0.039561
22,Negative (Not Crack),0.046774
23,Negative (Not Crack),0.041323
24,Negative (Not Crack),0.302375
25,Negative (Not Crack),0.043916
26,Negative (Not Crack),0.041075
27,Negative (Not Crack),0.047212
28,Negative (Not Crack),0.039337
29,Negative (Not Crack),0.034706
30,Negative (Not Crack),0.033186
31,Negative (Not Crack),0.039355
32,Negative (Not Crack),0.089672
33,Negative (Not Crack),0.029843
34,Negative (Not Crack),0.030239
35,Negative (Not Crack),0.043808
36,Negative (Not Crack),0.046276
37,Negative (Not Crack),0.041404
38,Negative (Not Crack),0.052206
39,Negative (Not Crack),0.078943
40,Negative (Not Crack),0.037439
41,Negative (Not Crack),0.10974
42,Negative (Not Crack),0.039392
43,Negative (Not Crack),0.039
44,Negative (Not Crack),0.051935
45,Negative (Not Crack),0.068915
46,Negative (Not Crack),0.152558
47,Negative (Not Crack),0.081454
48,Negative (Not Crack),0.037514
49,Negative (Not Crack),0.037782
50,Negative (Not Crack),0.031045
51,Negative (Not Crack),0.061869
52,Negative (Not Crack),0.110133
53,Negative (Not Crack),0.033881
54,Negative (Not Crack),0.02852
55,Negative (Not Crack),0.035733
56,Negative (Not Crack),0.037073
57,Negative (Not Crack),0.054538
58,Negative (Not Crack),0.045051
59,Negative (Not Crack),0.05093
60,Negative (Not Crack),0.046652
61,Negative (Not Crack),0.041824
62,Negative (Not Crack),0.039342
63,Negative (Not Crack),0.066956
64,Negative (Not Crack),0.058364
65,Negative (Not Crack),0.103183
66,Negative (Not Crack),0.067314
67,Negative (Not Crack),0.047362
68,Negative (Not Crack),0.033178
69,Negative (Not Crack),0.068773
70,Negative (Not Crack),0.051606
71,Negative (Not Crack),0.056778
72,Negative (Not Crack),0.053464
73,Negative (Not Crack),0.056485
74,Negative (Not Crack),0.043534
75,Negative (Not Crack),0.055475
76,Negative (Not Crack),0.070695
77,Negative (Not Crack),0.060979
78,Negative (Not Crack),0.044566
79,Negative (Not Crack),0.123927
80,Negative (Not Crack),0.044382
81,Negative (Not Crack),0.032226
82,Negative (Not Crack),0.220198
83,Negative (Not Crack),0.054996
84,Negative (Not Crack),0.053734
85,Negative (Not Crack),0.046699
86,Negative (Not Crack),0.041767
87,Negative (Not Crack),0.050368
88,Negative (Not Crack),0.089744
89,Negative (Not Crack),0.029008
90,Negative (Not Crack),0.03105
91,Negative (Not Crack),0.07147
92,Negative (Not Crack),0.050016
93,Negative (Not Crack),0.045994
94,Negative (Not Crack),0.036052
95,Negative (Not Crack),0.045584
96,Negative (Not Crack),0.058694
97,Negative (Not Crack),0.029313
98,Negative (Not Crack),0.06451
99,Negative (Not Crack),0.098297
